"province","province_name","age_group","total_expected","total_observed","total_excess","total_excess0","se_excess","total_excess_low","total_excess_high","total_excess0_low","total_excess0_high"
"P0019","Qom","5 to 9",84.51153846151172,78,-6.511538461511719,37.789743589754714,17.77006814521381,-41.57467356188846,28.55159663886502,2.7266084893779734,72.85287869013146
"P0019","Qom","50 to 54",445.7980769230503,741,295.2019230769497,339.89551282053236,45.32677091942556,205.76508583895026,384.63876031494914,250.45867558253292,429.3323500585318
"P0019","Qom","55 to 59",679.417307692324,1058,378.582692307676,431.7153846153718,55.93336894030909,268.2173714914188,488.94801312393315,321.35006379911465,542.080705431629
"P0019","Qom","60 to 64",829.1269230771311,1447,617.8730769228689,668.3538461536798,62.76447484053471,494.0289113938466,741.7172424518913,544.5096806246574,792.1980116827021
"P0019","Qom","65 to 69",1081.9442307693103,1778,696.0557692306897,765.4749999999535,64.77055982902438,568.2532829794593,823.8582554819202,637.6725137487231,893.277486251184
"P0019","Qom","70 to 74",843.6384615384052,1524,680.3615384615948,712.711538461584,64.43319913140088,553.2247178466279,807.4983590765618,585.5747178466171,839.848359076551
"P0019","Qom","75 to 79",1073.0442307692492,1768,694.9557692307508,756.4288461538348,80.4891433450589,536.1380492220899,853.7734892394117,597.611126145174,915.2465661624956
"P0019","Qom","80",4308.175000000112,5416,1107.824999999888,1444.5666666665795,158.54241765056804,794.9959121317313,1420.6540878680446,1131.7375787984229,1757.3957545347362
"P0020","Kurdistan","0 to 4",215.93269230773058,352,136.06730769226942,199.61858974357892,76.38123772432245,-14.644869412310072,286.7794847968489,48.90641263899943,350.3307668481584
"P0020","Kurdistan","10 to 14",36.723076923094936,103,66.27692307690506,84.97307692306316,21.236521243047193,24.37393163522396,108.17991451858617,43.07008548138206,126.87606836474427
"P0020","Kurdistan","15 to 19",126.66730769239251,171,44.33269230760749,83.13589743584598,29.680634437951536,-14.23186054938818,102.89724516460316,24.571344578850308,141.70045029284165
"P0020","Kurdistan","20 to 24",162.43653846158975,208,45.56346153841025,82.97820512817793,33.989827790749764,-21.503806528684677,112.63072960550518,15.910937061083004,150.04547319527285
"P0020","Kurdistan","25 to 29",204.0846153846295,290,85.9153846153705,121.28589743589112,39.10121412865231,8.762548600447062,163.06822063029392,44.13306142096768,198.43873345081454
"P0020","Kurdistan","30 to 34",307.3153846154029,360,52.68461538459712,112.43589743588812,38.35180598939833,-22.989520682905933,128.3587514521002,36.761761368385066,188.11003350339118
"P0020","Kurdistan","35 to 39",355.36346153841606,406,50.63653846158394,119.87820512823075,39.10837679742123,-26.530430623661545,127.80350754682942,42.71123604298526,197.04517421347623
"P0020","Kurdistan","40 to 44",300.6961538462057,441,140.30384615379432,175.17692307688657,36.235279666809284,68.80594890462307,211.8017434029656,103.67902582771531,246.67482032605784
"P0020","Kurdistan","45 to 49",346.08846153837555,630,283.91153846162445,307.58846153852625,37.925156227968884,209.07924937542143,358.74382754782744,232.75617245232323,382.4207506247293
"P0020","Kurdistan","5 to 9",-4.765384615238531,117,121.76538461523853,137.0653846152544,43.85349380525786,35.235554490111014,208.29521474036605,50.535554490126884,223.59521474038192
"P0020","Kurdistan","50 to 54",496.57884615405237,723,226.42115384594763,280.73589743574445,43.964393726218645,139.67250076080143,313.16980693109383,193.98724435059825,367.48455052089065
"P0020","Kurdistan","55 to 59",532.4134615384712,888,355.5865384615288,387.71987179486126,53.76415495445361,249.50141749741252,461.6716594256451,281.634750830745,493.8049927589775
"P0020","Kurdistan","60 to 64",988.5653846153018,1350,361.4346153846982,438.7230769231332,73.70856260775699,215.99604600777337,506.873184761623,293.2845075462084,584.161646300058
"P0020","Kurdistan","65 to 69",1144.324999999993,1932,787.675000000007,826.3000000000179,68.79319582026928,651.9352212146088,923.4147787854052,690.5602212146197,962.0397787854162
"P0020","Kurdistan","70 to 74",1204.2980769231126,2035,830.7019230768874,867.438461538432,73.33765664807635,685.9952094062852,975.4086367474896,722.7317478678298,1012.1451752090342
"P0020","Kurdistan","75 to 79",1243.0307692309011,2015,771.9692307690989,809.8179487178338,90.4120842326454,593.5719900691677,950.3664714690301,631.4207080179026,988.215189417765
"P0020","Kurdistan","80",5262.842307692568,7069,1806.1576923074317,2077.6858974356987,201.5904467119752,1408.3880827456876,2203.927301869176,1679.9162878739546,2475.455506997443
"P0021","Kerman","0 to 4",1787.2288461540295,1291,-496.2288461540295,53.59807692304844,124.16768907840898,-741.2311962677209,-251.22649604033816,-191.4042731906429,298.6004270367398
"P0021","Kerman","10 to 14",444.91923076925497,355,-89.91923076925497,61.26794871793783,42.98824076123065,-174.74178075731055,-5.096680781199382,-23.554601270117757,146.0904987059934
"P0021","Kerman","15 to 19",576.5999999999431,678,101.40000000005693,172.8000000000348,50.155003704051424,2.436301241889254,200.36369875822461,73.83630124186712,271.7636987582025
"P0021","Kerman","20 to 24",700.2653846155195,697,-3.2653846155194515,137.0102564101883,54.765017691674394,-111.32536493781761,104.79459570677871,28.950276087890146,245.07023673248648
"P0021","Kerman","25 to 29",654.7711538462418,731,76.22884615375824,158.50769230763638,61.57454249508051,-45.267395988138134,197.72508829565461,37.01145016574,280.0039344495327
"P0021","Kerman","30 to 34",873.705769230943,981,107.29423076905698,219.3115384614481,63.000725967923785,-17.01609533569112,231.60455687380508,95.0012123567,343.6218645661962
"P0021","Kerman","35 to 39",791.2288461539144,1045,253.77115384608555,308.3038461538069,55.14027160794648,144.97073861629733,362.57156907587375,199.50343092401866,417.10426138359514
"P0021","Kerman","40 to 44",757.996153846161,1049,291.00384615383905,339.44743589743865,55.63163863834957,181.23388660772613,400.77380569995194,229.67747635132574,449.2173954435516
"P0021","Kerman","45 to 49",907.0730769230925,1152,244.92692307690754,338.9628205128164,60.794598609819836,124.96963270470224,364.88421344911285,219.00553014061109,458.9201108850217
"P0021","Kerman","5 to 9",483.0499999999767,373,-110.0499999999767,48.70000000000488,59.88495824114953,-228.21242707290796,8.112427072954546,-69.46242707292637,166.86242707293613
"P0021","Kerman","50 to 54",893.2942307693154,1385,491.7057692306846,537.1038461537743,70.28677208442326,353.01892992166916,630.3926085397001,398.4170068447588,675.7906854627897
"P0021","Kerman","55 to 59",1324.6769230767989,1761,436.32307692320114,541.3615384616231,91.67576503270881,255.43239555358355,617.2137582928187,360.47085709200553,722.2522198312407
"P0021","Kerman","60 to 64",1782.528846154,2479,696.4711538460001,808.2666666665757,85.7846360847201,527.2045950463742,865.7377126456261,639.0001078669497,977.5332254662017
"P0021","Kerman","65 to 69",1873.130769230798,2780,906.869230769202,1000.6269230769224,97.36016965745189,714.7623263837904,1098.9761351546135,808.5200186915108,1192.733827462334
"P0021","Kerman","70 to 74",1905.5423076923023,2872,966.4576923076977,1015.2038461538568,94.02809682464033,780.9254908973355,1151.9898937180599,829.6716447434947,1200.736047564219
"P0021","Kerman","75 to 79",1876.807692307548,2773,896.192307692452,987.1115384616328,96.23018942268436,706.3150317647727,1086.0695836201312,797.2342625339535,1176.988814389312
"P0021","Kerman","80",9033.394230770009,10766,1732.605769229991,2176.498076922562,286.4603476255927,1167.3745170131924,2297.8370214467895,1611.2668247057636,2741.7293291393607
"P0022","Kermanshah","0 to 4",826.8384615384919,588,-238.83846153849186,37.54230769230058,72.36161005592719,-381.61928200231944,-96.05764107466425,-105.23851277152703,180.32312815612818
"P0022","Kermanshah","10 to 14",189.184615384641,124,-65.184615384641,23.099999999991837,29.215132639743445,-122.83066009036463,-7.538570678917381,-34.54604470573179,80.74604470571546
"P0022","Kermanshah","15 to 19",269.4980769231456,343,73.50192307685438,108.57499999995825,36.297313803693406,1.8816227336359503,145.12222342007283,36.95469965673982,180.19530034317668
"P0022","Kermanshah","20 to 24",397.58076923089095,336,-61.58076923089095,60.62948717944559,41.460274918385686,-143.38840265595834,20.226864194176443,-21.178146245621804,142.43712060451298
"P0022","Kermanshah","25 to 29",434.01730769226947,509,74.98269230773053,149.27692307694417,48.601471541242994,-20.915643523170942,170.88102813863202,53.3785872460427,245.17525890784566
"P0022","Kermanshah","30 to 34",533.2769230768456,698,164.7230769231544,214.0320512821049,58.03077745100052,50.2192397337419,279.2269141125669,99.52821409269241,328.5358884715174
"P0022","Kermanshah","35 to 39",633.4942307692294,819,185.50576923077062,235.48974358975101,46.63051574248412,93.49643871397464,277.51509974756664,143.48041307295503,327.499074106547
"P0022","Kermanshah","40 to 44",572.692307692255,907,334.307692307745,382.7243589743998,52.45121911842154,230.81319993439854,437.8021846810915,279.22986660105335,486.2188513477463
"P0022","Kermanshah","45 to 49",712.1884615384357,979,266.8115384615643,324.01923076924925,59.75288053375066,148.90972144709934,384.7133554760292,206.1174137547843,441.9210477837142
"P0022","Kermanshah","5 to 9",155.3096153846656,140,-15.309615384665591,44.417948717929306,41.66270306573171,-97.51667133420003,66.89744056486884,-37.78910723160513,126.62500466746374
"P0022","Kermanshah","50 to 54",816.0788461539879,1269,452.9211538460121,487.8320512819363,60.42252681835802,333.6980195493184,572.1442881427057,368.6089169852426,607.0551855786299
"P0022","Kermanshah","55 to 59",1119.42884615372,1575,455.5711538462799,516.5474358975317,70.24933237366685,316.95818896619994,594.1841187263599,377.93447101745176,655.1604007776117
"P0022","Kermanshah","60 to 64",1644.58846153849,2145,500.41153846150996,598.5371794871569,73.0836091171831,356.2061004655329,644.616976457487,454.33174149117986,742.7426174831339
"P0022","Kermanshah","65 to 69",1833.625000000072,2580,746.3749999999279,831.7583333332993,85.53486783369478,577.6012731837203,915.1487268161355,662.9846065170917,1000.532060149507
"P0022","Kermanshah","70 to 74",2044.480769230769,2908,863.519230769231,928.661538461547,84.87636478271007,696.0448338853571,1030.9936276531048,761.1871415776732,1096.1359353454209
"P0022","Kermanshah","75 to 79",1799.6692307690525,2661,861.3307692309475,924.0653846155172,97.74687997240355,668.4608246643136,1054.2007137975813,731.1954400488833,1116.9353291821512
"P0022","Kermanshah","80",6820.644230769673,8773,1952.3557692303266,2154.548076922766,200.64929036549904,1556.4432089414047,2348.2683295192487,1758.6355166338442,2550.460637211688
"P0023","Kohgiluyeh and Boyer Ahmad","0 to 4",241.95192307705014,214,-27.95192307705014,49.57051282045734,34.61979375543905,-96.2622129236923,40.358366769592024,-18.739777026184825,117.8808026670995
"P0023","Kohgiluyeh and Boyer Ahmad","10 to 14",29.05769230769529,62,32.94230769230471,48.838461538458816,16.06607262677105,1.2414233489509456,64.64319203565847,17.137577195105052,80.53934588181258
"P0023","Kohgiluyeh and Boyer Ahmad","15 to 19",143.77307692309094,134,-9.77307692309094,42.91410256409684,25.112942349709854,-59.32485596975787,39.77870212357599,-6.637676482570093,92.46588161076377
"P0023","Kohgiluyeh and Boyer Ahmad","20 to 24",123.32500000000198,166,42.67499999999802,79.7916666666643,25.56711627424388,-7.772935524228281,93.12293552422432,29.343731142437996,130.2396021908906
"P0023","Kohgiluyeh and Boyer Ahmad","25 to 29",232.3961538461113,175,-57.396153846111304,41.576923076941625,34.636869687873286,-125.74013718908752,10.947829496864912,-26.76706026603459,109.92090641991784
"P0023","Kohgiluyeh and Boyer Ahmad","30 to 34",207.45576923085724,203,-4.455769230857243,64.23141025637081,31.967824670904392,-67.53330760276148,58.621769141047,1.153871884466568,127.30894862827505
"P0023","Kohgiluyeh and Boyer Ahmad","35 to 39",155.35769230771058,221,65.64230769228942,99.32435897434847,32.578878116984676,1.3590649101162455,129.9255504744626,35.041116192175295,163.60760175652166
"P0023","Kohgiluyeh and Boyer Ahmad","40 to 44",195.64038461531814,216,20.35961538468186,79.8692307692663,25.030878964522778,-29.03023971559977,69.7494704849635,30.479375668984666,129.25908586954793
"P0023","Kohgiluyeh and Boyer Ahmad","45 to 49",182.75769230767918,263,80.24230769232082,125.95256410257363,29.688812004180633,21.661619212932486,138.82299617170915,67.3718756231853,184.53325258196196
"P0023","Kohgiluyeh and Boyer Ahmad","5 to 9",72.7096153845982,52,-20.709615384598195,23.90576923077527,16.543219876163718,-53.351986183237976,11.932755414041587,-8.736601567864511,56.54814002941505
"P0023","Kohgiluyeh and Boyer Ahmad","50 to 54",156.88846153844503,320,163.11153846155497,187.6974358974486,26.340388083907275,111.13781622058818,215.08526070252177,135.7237136564818,239.6711581384154
"P0023","Kohgiluyeh and Boyer Ahmad","55 to 59",250.17115384622204,337,86.82884615377796,131.79487179482712,32.24209220726451,23.210134861069108,150.44755744648683,68.17616050211826,195.41358308753598
"P0023","Kohgiluyeh and Boyer Ahmad","60 to 64",431.7326923077137,495,63.267307692286295,143.58717948716446,37.17780602280914,-10.090342073646696,136.62495745821928,70.22952972123147,216.94482925309745
"P0023","Kohgiluyeh and Boyer Ahmad","65 to 69",466.90576923070955,551,84.09423076929045,166.11730769235578,35.64834130683826,13.754455078409364,154.43400646017153,95.7775320014747,236.45708338323686
"P0023","Kohgiluyeh and Boyer Ahmad","70 to 74",351.88846153854,477,125.11153846145999,170.4115384614906,37.81594949021561,50.49473141890607,199.7283455040139,95.79473141893669,245.02834550404452
"P0023","Kohgiluyeh and Boyer Ahmad","75 to 79",332.00192307688275,542,209.99807692311725,244.59615384618678,39.34940945090993,132.35551256025025,287.64064128598426,166.95358948331977,322.2387182090538
"P0023","Kohgiluyeh and Boyer Ahmad","80",1936.0615384614273,2271,334.9384615385727,479.77307692316344,98.20175612800402,141.17097488220543,528.70594819494,286.00559026679616,673.5405635795307
"P0024","Golestan","0 to 4",676.4807692305113,579,-97.48076923051133,65.8538461539261,60.17017800346675,-216.20597968602175,21.244441224999107,-52.871364301584336,184.57905660943652
"P0024","Golestan","10 to 14",138.66346153844876,130,-8.663461538448757,43.574358974365424,22.375030330288187,-52.81291020318162,35.48598712628411,-0.5750896903674416,87.72380763909828
"P0024","Golestan","15 to 19",215.16346153850404,267,51.83653846149596,98.00192307689687,34.73188178765864,-16.694918675262045,120.36799559825397,29.470465940138865,166.53338021365488
"P0024","Golestan","20 to 24",265.6250000000709,293,27.374999999929116,81.49166666662117,38.52814045177799,-48.647071653793716,103.39707165365195,5.469595012898338,157.513738320344
"P0024","Golestan","25 to 29",290.81538461538173,391,100.18461538461827,145.50000000000318,36.19341865159221,28.769316492414518,171.599914276822,74.08470110779943,216.91529889220692
"P0024","Golestan","30 to 34",389.9365384615125,494,104.0634615384875,144.38910256411847,41.76834296234516,21.647961483017284,186.4789615939577,61.973602508648256,226.8046026195887
"P0024","Golestan","35 to 39",435.99807692318456,645,209.00192307681544,248.76410256403193,45.6847725047139,118.85869248970019,299.1451536639307,158.62087197691667,338.9073331511472
"P0024","Golestan","40 to 44",530.3846153846446,746,215.61538461535542,269.319230769214,45.766008334867564,125.31186297789681,305.91890625281405,179.0157091317554,359.62275240667265
"P0024","Golestan","45 to 49",561.7461538462456,1002,440.25384615375435,475.6423076922343,50.66219432970175,340.28938064086765,540.2183116666411,375.6778421793476,575.606773205121
"P0024","Golestan","5 to 9",131.93461538463924,122,-9.934615384639244,41.966666666654106,26.492130483529987,-62.20774921001571,42.338518440737225,-10.306467158722363,94.23980049203058
"P0024","Golestan","50 to 54",783.4480769231416,1268,484.55192307685843,523.8846153845658,64.08631487677182,358.09955957172696,611.0042865819898,397.4322518794343,650.3369788896973
"P0024","Golestan","55 to 59",1206.7249999999683,1749,542.2750000000317,614.0250000000232,82.07483083509682,380.32846955373884,704.2215304463246,452.0784695537303,775.971530446316
"P0024","Golestan","60 to 64",1472.9019230770916,2428,955.0980769229084,994.3852564101192,91.11948825449119,775.3050169956205,1134.8911368501963,814.5921964828312,1174.178316337407
"P0024","Golestan","65 to 69",1787.1442307695113,2678,890.8557692304887,968.6160256408396,85.05762410618202,723.0237192360491,1058.6878192249283,800.7839756464,1136.448075635279
"P0024","Golestan","70 to 74",1869.9269230767711,2578,708.0730769232289,789.3653846155116,87.8537198422681,534.7238909365799,881.4222629098779,616.0161986288626,962.7145706021606
"P0024","Golestan","75 to 79",1332.1326923078786,2345,1012.8673076921214,1034.2557692305845,101.26128069910993,813.0628985826174,1212.6717168016253,834.4513601210806,1234.0601783400884
