"wave","province","province_name","total_expected","total_observed","total_excess","total_excess0","se_excess","total_excess_low","total_excess_high","total_excess0_low","total_excess0_high"
"wave 2","P0005","Alborz",2770.8000000001502,3970,1199.1999999998498,1199.1999999998498,309.02120866715177,589.4526259417249,1808.9473740579747,589.4526259417249,1808.9473740579747
"wave 2","P0006","Ilam",592.1500000000299,805,212.84999999997012,225.65384615382806,88.8377571413192,37.55915388695118,388.14084611298904,50.36300004080911,400.944692266847
"wave 2","P0007","Bushehr",1003.5000000000227,1565,561.4999999999773,562.1846153845943,117.55588364013529,329.54378034820184,793.4562196517527,330.22839573281885,794.1408350363697
"wave 2","P0008","Tehran",14187.60000000081,19151,4963.39999999919,4963.39999999919,1291.9866787223139,2414.1073865024364,7512.692613495944,2414.1073865024364,7512.692613495944
"wave 2","P0009","Chahaar Mahal and Bakhtiari",989.0714285714264,1318,328.9285714285736,331.97252747252963,139.94194018936724,52.05001537878684,605.8071274783604,55.09397142274287,608.8510835223165
"wave 2","P0010","South Khorasan",935.3000000000206,1086,150.69999999997935,194.1769230769114,128.07551139877458,-102.0130972446481,403.4130972446068,-58.53617416771604,446.8900203215388
"wave 2","P0011","Razavi Khorasan",7462.600000000437,11060,3597.399999999563,3597.399999999563,714.5529618608094,2187.4747913082233,5007.325208690903,2187.4747913082233,5007.325208690903
"wave 2","P0012","North Khorasan",1196.4500000000735,1507,310.5499999999265,321.2384615384026,127.45284969047741,59.06551208990848,562.0344879099446,69.75397362838456,572.7229494484206
"wave 2","P0013","Khuzestan",4841.800000000356,8052,3210.199999999644,3253.3846153843206,433.99705028934574,2353.85566394492,4066.5443360543686,2397.040279329596,4109.728951439045
"wave 2","P0014","Zanjan",1270.8500000001777,1825,554.1499999998223,554.1499999998223,165.64070285306337,227.31488069710792,880.9851193025366,227.31488069710792,880.9851193025366
"wave 2","P0015","Semnan",851.3500000000217,1034,182.64999999997826,216.13076923075596,96.07129851127782,-6.913759206924112,372.21375920688064,26.567010023853584,405.69452843765833
"wave 2","P0016","Sistan and Baluchistan",3282.20000000011,3810,527.7999999998901,565.8615384614823,418.37293040384714,-297.71549387522373,1353.315493875004,-259.6539554136316,1391.3770323365961
"wave 2","P0017","Fars",5292.250000000121,6815,1522.749999999879,1543.0499999999292,503.3967589317097,529.4691401136804,2516.0308598860775,549.7691401137306,2536.3308598861277
"wave 2","P0018","Qazvin",1463.7999999999877,2076,612.2000000000123,612.2000000000123,188.77300977120632,239.72120640037718,984.6787935996474,239.72120640037718,984.6787935996474
"wave 2","P0019","Qom",1492.700000000029,1896,403.2999999999711,420.76153846152465,153.65573002268127,100.11311423761128,706.4868857623309,117.57465269916486,723.9484242238844
"wave 2","P0020","Kurdistan",1723.4000000001245,2948,1224.5999999998755,1224.5999999998755,208.3152343616663,813.5613283301184,1635.6386716696327,813.5613283301184,1635.6386716696327
"wave 2","P0021","Kerman",3390.25000000016,4572,1181.74999999984,1181.74999999984,332.5715010157659,525.5342007491403,1837.9657992505395,525.5342007491403,1837.9657992505395
"wave 2","P0022","Kermanshah",2727.700000000067,3544,816.2999999999329,848.8923076922656,212.6767623425122,396.6553486801955,1235.9446513196704,429.24765637252824,1268.536959012003
"wave 2","P0023","Kohgiluyeh and Boyer Ahmad",699.4500000000053,830,130.54999999999472,145.44999999999527,97.68586641667115,-62.199555239478656,323.2995552394681,-47.29955523947811,338.1995552394686
"wave 2","P0024","Golestan",2150.900000000096,3156,1005.099999999904,1005.099999999904,228.31240343649625,554.6037733468988,1455.596226652909,554.6037733468988,1455.596226652909
"wave 2","P0025","Gilan",3976.1999999999075,4320,343.8000000000925,394.81538461547643,358.26828671886204,-363.1195929215262,1050.7195929217112,-312.10420830614225,1101.7349775370951
"wave 2","P0026","Lorestan",2287.2999999998538,3119,831.7000000001462,831.7000000001462,216.41400657620278,404.6811789024336,1258.7188210978588,404.6811789024336,1258.7188210978588
"wave 2","P0027","Mazandaran",4052.45000000011,5500,1447.5499999998901,1447.5499999998901,384.3113682348384,689.2433173854977,2205.8566826142824,689.2433173854977,2205.8566826142824
"wave 2","P0028","Markazi",1890.6000000001136,2533,642.3999999998864,642.3999999998864,189.37398184233504,268.73539412596267,1016.0646058738101,268.73539412596267,1016.0646058738101
"wave 2","P0029","Hormozgan",1506.150000000043,2487,980.8499999999569,980.8499999999569,183.3131660832643,619.1443354222729,1342.555664577641,619.1443354222729,1342.555664577641
"wave 2","P0030","Hamedan",2685.5000000000528,3561,875.4999999999472,875.4999999999472,202.71519178385063,475.51109177899826,1275.4889082208963,475.51109177899826,1275.4889082208963
"wave 2","P0031","Yazd",1197.1999999998998,1534,336.8000000001002,336.8000000001002,149.99050719092887,40.845174479295224,632.7548255209052,40.845174479295224,632.7548255209052
"wave 2","P9999","Iran",92881.40000000293,126912,34030.599999997066,34030.599999997066,6564.579357377699,21077.654012174626,46983.54598781951,21077.654012174626,46983.54598781951
"wave 3","P0001","East Azerbaijan",9772.882051282148,15608,5835.117948717852,5846.049358974265,706.8249412669425,4440.441338283252,7229.794559152453,4451.372748539665,7240.725969408864
