"wave","province","province_name","age_group","total_expected","total_observed","total_excess","total_excess0","se_excess","total_excess_low","total_excess_high","total_excess0_low","total_excess0_high"
"wave 1","P0018","Qazvin","5 to 9",20.003846153846027,13,-7.003846153846027,7.39679487179491,7.461947376642787,-21.72744016828979,7.719747860597735,-7.326799142648852,22.120388886238672
"wave 1","P0018","Qazvin","50 to 54",80.28076923075031,117,36.71923076924969,43.75384615386068,15.180427789995795,6.765862772430918,66.67259876606846,13.800478157041905,73.70721415067945
"wave 1","P0018","Qazvin","55 to 59",157.18461538463066,202,44.81538461536934,51.13461538460291,16.268404621105148,12.715267472541143,76.91550175819754,19.034498241774713,83.2347325274311
"wave 1","P0018","Qazvin","60 to 64",178.12692307690878,233,54.87307692309122,70.58076923077584,17.516666983721063,20.309942109005206,89.43621173717723,36.01763441668983,105.14390404486186
"wave 1","P0018","Qazvin","65 to 69",205.89615384615973,238,32.103846153840266,62.838461538456215,18.505096440402575,-4.409615203374429,68.61730751105496,26.32500018124152,99.35192289567091
"wave 1","P0018","Qazvin","70 to 74",283.3807692308021,306,22.619230769197884,61.81730769228511,24.12901578938394,-24.99110665599453,70.2295681943903,14.2069702670927,109.42764511747752
"wave 1","P0018","Qazvin","75 to 79",255.25769230766718,369,113.74230769233282,119.02307692309796,25.38895161072751,63.645919028587755,163.8386963560779,68.9266882593529,169.11946558684303
"wave 1","P0018","Qazvin","80",1034.0269230769268,1225,190.97307692307322,259.30769230768465,57.32234407913138,77.86709003026488,304.07906381588157,146.2017054148763,372.413679200493
"wave 1","P0019","Qom","0 to 4",90.35384615382793,84,-6.353846153827931,19.600000000009118,16.381050233690743,-38.676230780397724,25.968538472741862,-12.722384626560675,51.92238462657891
"wave 1","P0019","Qom","10 to 14",18.407692307691462,9,-9.407692307691462,4.548717948718007,5.311373871774912,-19.88786706632428,1.0724824509413544,-5.93145680991481,15.028892707350824
"wave 1","P0019","Qom","15 to 19",30.892307692313636,25,-5.892307692313636,7.61538461538089,7.353168356795691,-20.40126361770693,8.616648233079658,-6.893571310012405,22.124340540774185
"wave 1","P0019","Qom","20 to 24",35.14615384615617,39,3.8538461538438327,14.68653846153682,8.199228758545251,-12.324519811353614,20.03221211904128,-1.4918275036606268,30.864904426734267
"wave 1","P0019","Qom","25 to 29",37.44615384615764,53,15.553846153842358,20.378205128202268,9.175951583692548,-2.5517473320320647,33.65943963971678,2.2726116423278455,38.48379861407669
"wave 1","P0019","Qom","30 to 34",58.3730769230854,80,21.6269230769146,32.58333333332802,10.241874933705406,1.4180954265604306,41.835750727268774,12.374505682973851,52.792160983682194
"wave 1","P0019","Qom","35 to 39",58.561538461548274,101,42.438461538451726,48.18974358973675,9.97386578142473,22.758458034283276,62.11846504262017,28.5097400855683,67.8697470939052
"wave 1","P0019","Qom","40 to 44",76.51538461537106,109,32.48461538462894,43.21153846154748,10.779811734071204,11.214353948396425,53.754876820861455,21.941277025314964,64.48179989778
"wave 1","P0019","Qom","45 to 49",86.23461538462625,133,46.76538461537375,56.58076923076193,12.914902826292844,21.282253154872823,72.24851607587468,31.097637770261006,82.06390069126286
"wave 1","P0019","Qom","5 to 9",19.576923076916977,24,4.423076923083023,13.020512820516082,5.870430670636431,-7.1602046951903535,16.0063585413564,1.437231202242705,24.603794438789457
"wave 1","P0019","Qom","50 to 54",100.95384615383973,176,75.04615384616027,85.52564102564607,14.973924918262897,45.50024844492735,104.59205924739318,55.97973562441315,115.07154642687898
"wave 1","P0019","Qom","55 to 59",161.7653846153893,234,72.23461538461069,84.84038461538108,18.477867493094873,35.77488101652677,108.69434975269462,48.38065024729716,121.30011898346501
"wave 1","P0019","Qom","60 to 64",198.9961538462053,315,116.00384615379471,139.51666666662936,20.73455740857363,75.09130818701433,156.9163841205751,98.60412869984899,180.42920463340974
"wave 1","P0019","Qom","65 to 69",267.3115384615644,378,110.6884615384356,137.42499999998267,21.39727759386964,68.46827257105738,152.90865050581382,95.20481103260445,179.6451889673609
"wave 1","P0019","Qom","70 to 74",205.4730769230636,336,130.5269230769364,140.2897435897533,21.285828804530688,88.52664007308246,172.52720608079036,98.28946058589935,182.29002659360725
"wave 1","P0019","Qom","75 to 79",265.51153846153875,427,161.48846153846125,174.2948717948758,26.58999008222986,109.02223535676725,213.95468772015525,121.8286456131818,226.7610979765698
"wave 1","P0019","Qom","80",1055.2500000000384,1245,189.74999999996157,324.34999999996944,52.3752786739373,86.40535004943386,293.09464995048927,221.00535004944174,427.69464995049714
"wave 1","P0020","Kurdistan","0 to 4",52.184615384616336,77,24.815384615383664,41.62115384615868,25.23292296516643,-24.973135027593997,74.60390425836133,-8.167365796818984,91.40967348913634
"wave 1","P0020","Kurdistan","10 to 14",7.553846153849065,20,12.446153846150935,18.892307692306986,7.015590746230476,-1.3967084396803457,26.289016131982216,5.049445406475705,32.735169978138266
"wave 1","P0020","Kurdistan","15 to 19",24.76538461540389,33,8.234615384596111,15.658333333322304,9.805145669915214,-11.112476843393459,27.58170761258568,-3.6887588946672665,35.005425561311874
"wave 1","P0020","Kurdistan","20 to 24",32.92692307693329,44,11.073076923066708,19.512820512816575,11.22870919330584,-11.082929696061978,33.2290835421954,-2.643186106312111,41.668827131945264
"wave 1","P0020","Kurdistan","25 to 29",43.13076923076903,75,31.869230769230967,38.16923076923024,12.91728117145302,6.381406460228554,57.35705507823338,12.681406460227826,63.65705507823265
"wave 1","P0020","Kurdistan","30 to 34",70.96923076923468,69,-1.9692307692346844,19.166666666665762,12.669710453625047,-26.968559172922436,23.030097634453067,-5.83266173702199,44.16599507035352
"wave 1","P0020","Kurdistan","35 to 39",79.37307692306683,82,2.626923076933167,21.927564102569733,12.919647395110234,-22.8655701629418,28.119416316808135,-3.564929137305235,47.4200573424447
"wave 1","P0020","Kurdistan","40 to 44",65.80769230770403,69,3.1923076922959694,20.247435897431046,11.970505423789367,-20.427379382858405,26.811994767450344,-3.372251177723328,43.86712297258542
"wave 1","P0020","Kurdistan","45 to 49",82.02307692305556,114,31.976923076944445,39.39615384616687,12.52876457636025,7.255703023545028,56.698143130343865,14.674933792767451,64.11737389956629
"wave 1","P0020","Kurdistan","5 to 9",-3.3192307691990663,28,31.319230769199066,35.39615384612841,14.48722047292302,2.7336696717386957,59.90479186665944,6.810592748668043,63.981714943588784
