"province","province_name","year","week_num","deaths","expected_deaths_mean","expected_deaths_low","expected_deaths_high","se","excess_deaths_mean","excess_deaths_low","excess_deaths_high"
"P0024","Golestan",1399,10,167,169.05384615385674,112.322136742075,225.78555556563848,28.751745654112863,-2.053846153856739,54.677863257925,-58.785555565638475
"P0024","Golestan",1399,11,165,137.253846153862,80.52213674207948,193.98555556564455,28.751745654113265,27.746153846137986,84.47786325792052,-28.985555565644546
"P0024","Golestan",1399,12,201,171.2538461538652,114.52213674208247,227.98555556564793,28.751745654113368,29.746153846134803,86.47786325791753,-26.98555556564793
"P0024","Golestan",1399,13,173,157.45384615385365,100.72213674207241,214.1855555656349,28.751745654112618,15.546153846146353,72.27786325792759,-41.1855555656349
"P0024","Golestan",1399,14,249,172.25384615385656,115.52213674207503,228.9855555656381,28.751745654112764,76.74615384614344,133.47786325792498,20.014444434361906
"P0024","Golestan",1399,15,225,159.65384615383437,102.92213674205613,216.3855555656126,28.75174565411109,65.34615384616563,122.07786325794387,8.614444434387394
"P0024","Golestan",1399,16,246,160.05384615385492,103.32213674207348,216.78555556563634,28.751745654112703,85.94615384614508,142.6778632579265,29.214444434363656
"P0024","Golestan",1399,17,330,184.05384615385265,127.3221367420718,240.7855555656335,28.751745654112415,145.94615384614735,202.6778632579282,89.2144444343665
"P0024","Golestan",1399,18,307,154.65384615384892,97.92213674206857,211.38555556562926,28.751745654112156,152.34615384615108,209.07786325793143,95.61444443437074
"P0024","Golestan",1399,19,336,183.05384615385537,126.32213674207415,239.7855555656366,28.751745654112604,152.94615384614463,209.67786325792585,96.2144444343634
"P0024","Golestan",1399,20,259,164.65384615385437,107.92213674207312,221.38555556563563,28.751745654112618,94.34615384614563,151.07786325792688,37.61444443436437
"P0024","Golestan",1399,21,218,158.05384615386083,101.3221367420786,214.78555556564305,28.75174565411311,59.94615384613917,116.6778632579214,3.214444434356949
"P0024","Golestan",1399,22,206,141.45384615385183,84.72213674207109,198.18555556563257,28.75174565411236,64.54615384614817,121.27786325792891,7.814444434367431
"P0024","Golestan",1399,23,236,178.053846153839,121.32213674205995,234.78555556561804,28.751745654111495,57.946153846160996,114.67786325794005,1.21444443438196
"P0024","Golestan",1399,24,170,166.25384615386838,109.52213674208505,222.9855555656517,28.75174565411367,3.7461538461316195,60.47786325791495,-52.98555556565171
"P0024","Golestan",1399,25,178,158.45384615385547,101.72213674207423,215.18555556563672,28.751745654112618,19.546153846144534,76.27786325792577,-37.18555556563672
"P0024","Golestan",1399,26,201,155.853846153846,99.12213674206596,212.58555556562607,28.751745654112014,45.14615384615399,101.87786325793404,-11.585555565626066
"P0024","Golestan",1399,27,194,158.9461538461701,100.87732306458682,217.01498462775336,29.429401482428673,35.05384615382991,93.12267693541318,-23.014984627753364
"P0024","Golestan",1399,28,176,181.196153846176,123.1273230645917,239.2649846277603,29.429401482429192,-5.196153846176003,52.87267693540829,-63.2649846277603
"P0024","Golestan",1399,29,183,174.1961538461519,116.12732306457167,232.26498462773213,29.42940148242713,8.803846153848099,66.87267693542833,-49.26498462773213
"P0024","Golestan",1399,30,213,153.44615384616964,95.37732306458624,211.51498462775305,29.429401482428744,59.553846153830364,117.62267693541376,1.4850153722469486
"P0024","Golestan",1399,31,190,164.69615384616827,106.62732306458487,222.7649846277517,29.429401482428744,25.303846153831728,83.37267693541513,-32.76498462775169
"P0024","Golestan",1399,32,226,170.44615384617055,112.37732306458703,228.51498462775407,29.4294014824288,55.553846153829454,113.62267693541297,-2.5149846277540746
"P0024","Golestan",1399,33,203,168.446153846161,110.37732306457906,226.51498462774293,29.429401482427995,34.553846153839004,92.62267693542094,-23.514984627742933
"P0024","Golestan",1399,34,255,174.1961538461578,116.12732306457657,232.26498462773907,29.42940148242765,80.80384615384219,138.87267693542344,22.735015372260932
"P0024","Golestan",1399,35,249,175.69615384617055,117.62732306458705,233.76498462775405,29.429401482428787,73.30384615382945,131.37267693541295,15.235015372245954
"P0024","Golestan",1399,36,268,164.44615384615645,106.37732306457532,222.5149846277376,29.429401482427593,103.55384615384355,161.6226769354247,45.48501537226241
"P0024","Golestan",1399,37,293,187.1961538461601,129.1273230645783,245.26498462774188,29.429401482427924,105.80384615383991,163.8726769354217,47.73501537225812
"P0024","Golestan",1399,38,256,177.44615384615645,119.37732306457544,235.51498462773748,29.429401482427533,78.55384615384355,136.62267693542458,20.485015372262524
"P0024","Golestan",1399,39,268,175.69615384616236,117.62732306458022,233.7649846277445,29.429401482428098,92.30384615383764,150.37267693541978,34.2350153722555
"P0024","Golestan",1399,40,270,197.44615384617055,139.37732306458705,255.51498462775405,29.429401482428787,72.55384615382945,130.62267693541295,14.485015372245954
"P0024","Golestan",1399,41,255,198.94615384616145,140.8773230645795,257.0149846277434,29.429401482427995,56.05384615383855,114.12267693542049,-2.014984627743388
"P0024","Golestan",1399,42,243,194.6961538461619,136.62732306457985,252.76498462774396,29.42940148242805,48.303846153838094,106.37267693542015,-9.764984627743956
"P0024","Golestan",1399,43,227,191.44615384616282,133.37732306458042,249.5149846277452,29.429401482428226,35.553846153837185,93.62267693541958,-22.514984627745207
"P0024","Golestan",1399,44,244,186.94615384616782,128.87732306458474,245.0149846277509,29.42940148242857,57.05384615383218,115.12267693541526,-1.0149846277508914
"P0024","Golestan",1399,45,234,181.44615384616327,123.37732306458088,239.51498462774566,29.429401482428226,52.55384615383673,110.62267693541912,-5.514984627745662
"P0024","Golestan",1399,46,201,180.19615384616736,122.12732306458429,238.26498462775044,29.42940148242857,20.803846153832637,78.87267693541571,-37.26498462775044
"P0024","Golestan",1399,47,181,165.9461538461601,107.87732306457828,224.0149846277419,29.429401482427938,15.053846153839913,73.12267693542172,-43.01498462774191
"P0024","Golestan",1399,48,193,184.44615384616282,126.37732306458055,242.5149846277451,29.42940148242817,8.553846153837185,66.62267693541945,-49.51498462774509
"P0024","Golestan",1399,49,213,188.94615384616463,130.87732306458201,247.01498462774725,29.429401482428343,24.053846153835366,82.12267693541799,-34.01498462774725
"P0024","Golestan",1399,50,200,179.19615384616372,121.12732306458135,237.26498462774612,29.429401482428226,20.803846153836275,78.87267693541865,-37.26498462774612
"P0024","Golestan",1399,51,210,171.19615384616327,113.12732306458089,229.26498462774566,29.429401482428226,38.80384615383673,96.87267693541911,-19.264984627745662
"P0024","Golestan",1399,52,239,195.196153846166,137.12732306458318,253.26498462774882,29.429401482428442,43.803846153834,101.87267693541682,-14.264984627748817
"P0024","Golestan",1400,1,94,131.65384615387893,74.92213674209381,188.38555556566405,28.751745654114576,-37.65384615387893,19.077863257906188,-94.38555556566405
"P0024","Golestan",1400,2,250,189.65384615384983,132.92213674206937,246.38555556563028,28.751745654112213,60.34615384615017,117.07786325793063,3.614444434369716
"P0024","Golestan",1400,3,204,195.05384615385083,138.32213674207009,251.78555556563157,28.75174565411236,8.946153846149173,65.67786325792991,-47.78555556563157
"P0024","Golestan",1400,4,201,157.85384615385237,101.12213674207143,214.5855555656333,28.751745654112458,43.14615384614763,99.87786325792857,-13.585555565633314
"P0024","Golestan",1400,5,226,165.65384615385665,108.92213674207483,222.38555556563847,28.751745654112906,60.34615384614335,117.07786325792517,3.6144444343615305
"P0024","Golestan",1400,6,234,176.45384615386502,119.72213674208209,233.18555556564795,28.751745654113467,57.546153846134985,114.27786325791791,0.8144444343520547
"P0024","Golestan",1400,7,221,159.0538461538481,102.32213674206787,215.78555556562833,28.7517456541121,61.9461538461519,118.67786325793213,5.214444434371671
"P0024","Golestan",1400,8,205,160.25384615384974,103.5221367420693,216.98555556563016,28.7517456541122,44.746153846150264,101.4778632579307,-11.985555565630165
"P0024","Golestan",1400,9,220,153.453846153855,96.72213674207359,210.18555556563643,28.751745654112703,66.54615384614499,123.27786325792641,9.814444434363566
"P0024","Golestan",1400,10,224,169.05384615385674,112.322136742075,225.78555556563848,28.751745654112863,54.94615384614326,111.677863257925,-1.7855555656384752
"P0024","Golestan",1400,11,220,137.253846153862,80.52213674207948,193.98555556564455,28.751745654113265,82.74615384613799,139.47786325792052,26.014444434355454
"P0024","Golestan",1400,12,160,171.2538461538652,114.52213674208247,227.98555556564793,28.751745654113368,-11.253846153865197,45.477863257917534,-67.98555556564793
"P0024","Golestan",1400,13,183,157.45384615385365,100.72213674207241,214.1855555656349,28.751745654112618,25.546153846146353,82.27786325792759,-31.1855555656349
"P0024","Golestan",1400,14,204,172.25384615385656,115.52213674207503,228.9855555656381,28.751745654112764,31.746153846143443,88.47786325792497,-24.985555565638094
"P0024","Golestan",1400,15,221,159.65384615383437,102.92213674205613,216.3855555656126,28.75174565411109,61.346153846165635,118.07786325794387,4.614444434387394
"P0024","Golestan",1400,16,194,160.05384615385492,103.32213674207348,216.78555556563634,28.751745654112703,33.94615384614508,90.67786325792652,-22.785555565636344
"P0024","Golestan",1400,17,264,184.05384615385265,127.3221367420718,240.7855555656335,28.751745654112415,79.94615384614735,136.6778632579282,23.2144444343665
"P0024","Golestan",1400,18,186,154.65384615384892,97.92213674206857,211.38555556562926,28.751745654112156,31.346153846151083,88.07786325793143,-25.38555556562926
"P0024","Golestan",1400,19,314,183.05384615385537,126.32213674207415,239.7855555656366,28.751745654112604,130.94615384614463,187.67786325792585,74.2144444343634
"P0024","Golestan",1400,20,412,164.65384615385437,107.92213674207312,221.38555556563563,28.751745654112618,247.34615384614563,304.0778632579269,190.61444443436437
"P0024","Golestan",1400,21,536,158.05384615386083,101.3221367420786,214.78555556564305,28.75174565411311,377.94615384613917,434.6778632579214,321.21444443435695
"P0024","Golestan",1400,22,511,141.45384615385183,84.72213674207109,198.18555556563257,28.75174565411236,369.5461538461482,426.2778632579289,312.81444443436743
"P0024","Golestan",1400,23,740,178.053846153839,121.32213674205995,234.78555556561804,28.751745654111495,561.946153846161,618.6778632579401,505.21444443438196
"P0024","Golestan",1400,24,452,166.25384615386838,109.52213674208505,222.9855555656517,28.75174565411367,285.7461538461316,342.4778632579149,229.0144444343483
"P0024","Golestan",1400,25,357,158.45384615385547,101.72213674207423,215.18555556563672,28.751745654112618,198.54615384614453,255.2778632579258,141.81444443436328
"P0024","Golestan",1400,26,279,155.853846153846,99.12213674206596,212.58555556562607,28.751745654112014,123.146153846154,179.87786325793405,66.41444443437393
"P0024","Golestan",1400,27,230,158.9461538461701,100.87732306458682,217.01498462775336,29.429401482428673,71.05384615382991,129.12267693541318,12.985015372246636
"P0024","Golestan",1400,28,235,181.196153846176,123.1273230645917,239.2649846277603,29.429401482429192,53.803846153824,111.8726769354083,-4.264984627760299
"P0024","Golestan",1400,29,167,174.1961538461519,116.12732306457167,232.26498462773213,29.42940148242713,-7.196153846151901,50.87267693542833,-65.26498462773213
"P0024","Golestan",1400,30,249,153.44615384616964,95.37732306458624,211.51498462775305,29.429401482428744,95.55384615383036,153.62267693541378,37.48501537224695
"P0024","Golestan",1400,31,175,164.69615384616827,106.62732306458487,222.7649846277517,29.429401482428744,10.303846153831728,68.37267693541513,-47.76498462775169
"P0024","Golestan",1400,32,245,170.44615384617055,112.37732306458703,228.51498462775407,29.4294014824288,74.55384615382945,132.62267693541298,16.485015372245925
"P0024","Golestan",1400,33,197,168.446153846161,110.37732306457906,226.51498462774293,29.429401482427995,28.553846153839004,86.62267693542094,-29.514984627742933
"P0025","Gilan",1398,41,367,379.3948717948624,288.27314471103875,470.51659887868607,46.18067651833344,-12.39487179486241,78.72685528896125,-103.51659887868607
"P0025","Gilan",1398,42,323,347.6448717948638,256.52314471103995,438.7665988786876,46.18067651833353,-24.644871794863775,66.47685528896005,-115.7665988786876
"P0025","Gilan",1398,43,330,351.8948717948647,260.77314471104035,443.016598878689,46.18067651833379,-21.894871794864684,69.22685528895965,-113.01659887868902
"P0025","Gilan",1398,44,339,361.3948717948706,270.2731447110452,452.516598878696,46.18067651833434,-22.394871794870596,68.72685528895482,-113.51659887869602
"P0025","Gilan",1398,45,291,362.3948717948647,271.2731447110403,453.5165988786891,46.18067651833382,-71.39487179486468,19.72685528895971,-162.51659887868908
"P0025","Gilan",1398,46,350,333.6448717948697,242.52314471104427,424.7665988786951,46.18067651833434,16.355128205130313,107.47685528895573,-74.7665988786951
"P0025","Gilan",1398,47,243,318.64487179486105,227.52314471103756,409.76659887868453,46.18067651833336,-75.64487179486105,15.47685528896244,-166.76659887868453
"P0025","Gilan",1398,48,458,348.64487179486423,257.52314471104006,439.7665988786884,46.180676518333705,109.35512820513577,200.47685528895994,18.2334011213116
"P0025","Gilan",1398,49,435,320.89487179486696,229.77314471104222,412.0165988786917,46.18067651833399,114.10512820513304,205.22685528895778,22.983401121308304
"P0025","Gilan",1398,50,625,339.39487179486514,248.27314471104077,430.5165988786895,46.18067651833379,285.60512820513486,376.7268552889592,194.48340112131052
"P0025","Gilan",1398,51,874,319.14487179486514,228.02314471104077,410.2665988786895,46.18067651833379,554.8551282051349,645.9768552889592,463.7334011213105
"P0025","Gilan",1398,52,990,339.89487179486787,248.7731447110428,431.01659887869295,46.18067651833416,650.1051282051321,741.2268552889573,558.983401121307
"P0025","Gilan",1399,1,726,285.53846153848735,196.5149480211614,374.5619750558133,45.117297617583766,440.46153846151265,529.4850519788386,351.4380249441867
"P0025","Gilan",1399,2,423,341.53846153844825,252.51494802112958,430.5619750557669,45.11729761758005,81.46153846155175,170.48505197887042,-7.5619750557668794
"P0025","Gilan",1399,3,547,377.9384615384506,288.91494802113147,466.96197505576976,45.117297617580306,169.0615384615494,258.08505197886853,80.03802494423024
"P0025","Gilan",1399,4,487,297.5384615384528,208.51494802113336,386.5619750557722,45.117297617580455,189.4615384615472,278.48505197886664,100.43802494422778
"P0025","Gilan",1399,5,409,337.1384615384586,248.1149480211378,426.1619750557794,45.117297617581144,71.86153846154139,160.8850519788622,-17.161975055779408
"P0025","Gilan",1399,6,343,320.9384615384697,231.91494802114715,409.96197505579227,45.11729761758204,22.06153846153029,111.08505197885285,-66.96197505579227
"P0025","Gilan",1399,7,338,305.53846153844825,216.5149480211299,394.5619750557666,45.1172976175799,32.461538461551754,121.4850519788701,-56.561975055766595
"P0025","Gilan",1399,8,343,301.9384615384488,212.91494802113016,390.9619750557674,45.11729761758005,41.06153846155121,130.08505197886984,-47.961975055767425
"P0025","Gilan",1399,9,315,295.33846153845843,206.31494802113824,384.36197505577866,45.11729761758085,19.661538461541568,108.68505197886176,-69.36197505577866
"P0025","Gilan",1399,10,293,297.5384615384587,208.51494802113803,386.5619750557794,45.11729761758109,-4.538461538458705,84.48505197886197,-93.561975055779385
"P0025","Gilan",1399,11,306,265.3384615384648,176.31494802114287,354.36197505578673,45.11729761758172,40.6615384615352,129.68505197885713,-48.36197505578673
